epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_vrmse_chmean,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,3.1437500000000005e-05,0.14853183084726335,0.1268898696899414,0.5202774658203125,0.0631431792229414,0.00023714536140323616,0.00029442851565545427,0.02639880609512329,0.07878071057796478,0.0,0.3966060631275177,828103.2715,0.8972370762825013,0.0735313842445612,0.517299560546875,0.60941943359375,0.5195796508789062,1.4949681396484376,0.7853167114257813,0.06251591491699218,0.0002318781018257141,0.0002751392424106598,0.025867254257202148,0.14624978637695313,0.0,0.5202774658203125,844649.728,1.0800699462890626,0.05278005599975586
2,4.9942884845168216e-05,0.10376115748286248,0.08949907684326172,0.26943215942382814,0.043763159722089766,0.00023505724442657083,0.0002936458560288884,0.02454011106491089,0.03475431454181671,0.0,0.29558761167526243,817559.37,0.87565696144104,0.04824513575434685,0.3326241455078125,0.46617535400390625,0.3063501281738281,0.3722764282226563,0.36935650634765627,0.035199432373046874,0.0002162327766418457,0.0002906909883022308,0.022152875900268553,0.03192376136779785,0.0,0.26943215942382814,798740.224,0.9651578979492188,0.04348800659179688
3,4.930339369024957e-05,0.09392049935460091,0.08462242889404296,0.19840811157226562,0.031657910108566285,0.00020345410343725236,0.00028748009848641234,0.019681649684906006,0.021877473592758177,0.0,0.22431409215927123,804848.63,0.9264682817459107,0.05208988432586193,0.1742297821044922,0.24465156555175782,0.20015538024902343,0.539624755859375,0.2896653442382813,0.026241064071655273,0.00017433808743953704,0.00023598158359527588,0.016343238830566407,0.018949026107788085,0.0,0.19840811157226562,790480.0,0.9526844482421875,0.049664459228515624
4,4.7971676886883606e-05,0.08333452033996581,0.07186822509765625,0.16200575256347657,0.024133539341390134,0.00016361276985844597,0.00022769296425394713,0.01532880687713623,0.013228852272033692,0.0,0.1695873880982399,796518.109,0.91433527135849,0.05102034243941307,0.20531275939941407,0.23146832275390625,0.18902197265625,0.28548220825195314,0.22782133483886718,0.022297636032104492,0.0001668875962495804,0.00022454933822155,0.015497407913208007,0.010340331077575683,0.0,0.16200575256347657,787513.728,1.0063660278320312,0.04122621154785156
5,4.5986462044240416e-05,0.0771495535671711,0.06358377456665039,0.13751119995117186,0.023071100369095803,0.00015794786527112593,0.00022526359153562226,0.01425464963912964,0.011860894680023193,0.0,0.15953816050291061,786143.6475,0.9210677485466003,0.046181059911847115,0.15160279846191407,0.19887596130371094,0.21172410583496093,0.21347682189941405,0.193919921875,0.019305233001708985,0.00015444871783256532,0.00021914064884185792,0.01385743522644043,0.009222289085388184,0.0,0.13751119995117186,777325.76,0.9804241943359375,0.036556102752685546
6,4.340548112481404e-05,0.08032288312911988,0.08099246215820312,0.1471514587402344,0.0238908836171031,0.0001701662474370096,0.00024657404047320595,0.014484142780303955,0.011581873059272767,0.0,0.15851598155498506,782119.217,0.8986754279136657,0.04792368680238724,0.14667172241210938,0.15194216918945314,0.23612103271484375,0.30747442626953125,0.21055233764648437,0.019283775329589845,0.00015021310746669768,0.0002185746729373932,0.012892707824707032,0.00838408660888672,0.0,0.1471514587402344,770066.432,0.983271484375,0.05419803237915039
7,4.0303791543266814e-05,0.07635608816146851,0.0755992431640625,0.15415435791015625,0.021715183354914187,0.0001570651542278938,0.00026555027754511686,0.013261749267578124,0.010299469709396363,0.0,0.1474987742304802,777639.428,0.9212070937156678,0.04678764696419239,0.15463949584960937,0.13995060729980469,0.3132467346191406,0.19520381164550782,0.20076016235351563,0.02001011848449707,0.0001413392871618271,0.00020734182000160218,0.011896583557128906,0.009598426818847657,0.0,0.15415435791015625,790221.824,0.9840556030273437,0.04852216339111328
8,3.677159342441323e-05,0.07671039125323295,0.069930419921875,0.12739608764648438,0.02088843159377575,0.0001440927989242482,0.00021399504171859006,0.012459617614746094,0.009932484984397888,0.0,0.14610202181339263,777465.912,0.9177220878601074,0.048617319494485854,0.1380250244140625,0.14952471923828126,0.17424806213378907,0.2800650634765625,0.18546571350097657,0.016903717041015624,0.00013842472434043884,0.0002049683779478073,0.011396499633789062,0.007826399326324463,0.0,0.12739609527587892,775187.712,0.9749916381835938,0.04610546875
9,3.291160649658636e-05,0.07209135273098946,0.06938589477539063,0.10607872772216796,0.01778891050815582,0.00013852071441942826,0.00020914305982296355,0.011242279529571533,0.006545096158981323,0.0,0.11784848755598068,771892.0735,0.9224793286323547,0.04737640641629696,0.12758304595947265,0.12478326416015625,0.13215484619140624,0.22012904357910157,0.1511625518798828,0.01455851936340332,0.0001343440115451813,0.00020079800486564635,0.010749064445495605,0.005504321098327636,0.0,0.10607872772216796,771108.928,0.9847685546875,0.048110172271728514
10,2.8836082902858047e-05,0.0703270854651928,0.07539337921142578,0.11678252410888672,0.017863762341439725,0.00011051399561984,0.00016909255314385518,0.009711430072784424,0.007016608595848083,0.0,0.1280147405266762,775594.995,0.9322986035346985,0.04693762330710888,0.15779150390625,0.1557897491455078,0.1508621826171875,0.19688168334960937,0.16533128356933594,0.015999878883361816,0.00013132375478744506,0.00019912853837013246,0.010707625389099121,0.006761640548706055,0.0,0.11678252410888672,785074.368,0.9468441162109374,0.052827316284179686
