epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,0.08984662320057885,0.06528833459924768,0.1985050003616898,0.047193971971253385,0.0001930529916466521,0.0002880042285302325,0.19900560929995625,0.05149321621205626,0.0,0.29695569542275757,812192.4863445378,0.42266535308180736,0.31491591261715446,0.2755214210792824,0.20025605378327546,0.23537773980034724,0.4818567798755787,0.026626742327654804,0.00017096240211416175,0.00026018456176475245,0.18266167534722222,0.016460294370298032,0.0,0.1985050003616898,806200.5096296297,0.5967859338831019,0.27142173484519677
2,5e-05,0.14872866133306206,0.10583045111762153,0.3397742603443287,0.06258992094765692,0.0006920029002020699,0.0014226640701321337,0.31278892625279786,0.07579455280504308,0.0,0.40792275689730123,834433.4322478991,0.9217205818961648,0.4620253486292703,0.40433530454282407,0.3865326153790509,0.40486811885127316,0.7526808901186343,0.04882349084924768,0.00030895233154296873,0.0003426881189699526,0.24416472258391203,0.05716976589626736,0.0,0.3397742377387153,910807.7985185186,1.2503710033275464,0.49346367730034724
3,5e-05,0.08970268108263738,0.06022411205150463,0.1946219211154514,0.04289528201608097,0.0002886216495556125,0.00032593597224600486,0.1937450275701635,0.034360452234244145,0.0,0.2578903161177114,851101.8576680672,0.6992048230491766,0.33145615377095566,0.25419548882378473,0.19780424895109955,0.2861116084346065,0.3655599636501736,0.0273978508843316,0.00022310056068279124,0.0002780859779428553,0.12942975079571759,0.014929928249782986,0.0,0.1946219211154514,824708.3614814815,0.7835011574074074,0.22567735460069444
4,5e-05,0.049070990746136474,0.04271137943974248,0.12885971634476273,0.02288902404585055,0.00018478270264319437,0.00024951510613773436,0.10023942414452047,0.00992415557388498,0.0,0.14417993746885732,818568.4222689075,0.5206353737025702,0.1906917449556479,0.1942361111111111,0.14109272144458912,0.14748739737051506,0.25152560763888887,0.018414327833387586,0.00019054863188001843,0.00030159974539721454,0.08700607864945023,0.007416713855884693,0.0,0.128859705041956,805601.1851851852,0.67021484375,0.17187077275028936
5,5e-05,0.04226938907464011,0.038179903383608216,0.11580841064453125,0.019820282368787696,0.00017064402632937695,0.00026076859884436573,0.08209864632422183,0.006785932959628706,0.0,0.12010902629679993,803648.8135504202,0.4541900038969617,0.16021081686270336,0.142022625958478,0.13700798882378473,0.14401756004050925,0.24630931712962964,0.016419704578540945,0.0001584266181345339,0.0002286505036883884,0.08210955584490741,0.006802132924397786,0.0,0.11580841064453125,797774.7911111111,0.6805900969328704,0.15224341498480903
6,5e-05,0.038884276946803104,0.03162229749891493,0.09774367720992477,0.01878489222095794,0.00015043330845286574,0.00022073154667384546,0.07375365746121447,0.00595913000968324,0.0,0.11186219313565422,795988.1018907563,0.475044331505519,0.15146702502955908,0.11440537064163774,0.11264110423900463,0.11778479682074652,0.2226400417751736,0.014330228169759115,0.00014753918956827235,0.00022128283977508546,0.05613774617513021,0.005131460119176794,0.0,0.09774367720992477,792236.2785185185,0.6915481228298611,0.149444580078125
7,5e-05,0.03661569582001001,0.03477550365306713,0.1179364917896412,0.01741071212488939,0.00014596498039579937,0.00022067127254925582,0.06986424201676826,0.005596769582323667,0.0,0.10748804035056539,789771.6265756303,0.4555941007467879,0.14270978762196893,0.1352054172092014,0.13508414939597801,0.14405571831597222,0.2656581398292824,0.01668429763228805,0.00014873925182554458,0.00022111464429784705,0.061761904116030095,0.0055699023494014035,0.0,0.11793650309244792,793291.8992592592,0.7224989601417824,0.1389957004123264
8,5e-05,0.03461529726960829,0.03329932318793403,0.10152499728732639,0.016513080046582623,0.00014184913858162346,0.00022152908642980771,0.06430143618784032,0.0049364942462504415,0.0,0.10084694323419523,788791.2169117647,0.5523568489471403,0.13645443583236022,0.10697573061342593,0.13576090494791668,0.1433215219003183,0.1884610437463831,0.014859432644314236,0.0001376136585518166,0.00021694406315132423,0.06807139078776042,0.004323186521176939,0.0,0.10152499728732639,785089.6118518518,0.712693775318287,0.13485014738859954
9,5e-05,0.034344414702984466,0.028948610093858507,0.08904263531720197,0.016369813450557345,0.00014889694033963448,0.0002367144299584476,0.061391849978631285,0.004754805640012277,0.0,0.09956532845101437,785523.9212184874,0.5032244928243781,0.13209766071258472,0.11610871491608796,0.1177249597620081,0.11146346480758101,0.15166928891782408,0.013186121340151187,0.0001321617320731834,0.00021133910726617883,0.05242930094401042,0.003981682812726056,0.0,0.08904263531720197,785507.6503703704,0.7521086516203703,0.12900074146412038
10,5e-05,0.03351804541283045,0.03377207438151042,0.10998668529369213,0.016098799692670338,0.0001429736976741183,0.000232921311440545,0.059712912856029865,0.004221245020377536,0.0,0.09511386506071612,785170.174894958,0.5628774822259149,0.13136238157123076,0.15475911458333333,0.12249264187282986,0.14958950466579862,0.20714192708333334,0.015228219208893952,0.00013098834841339675,0.00020459111090059633,0.07112725717050059,0.005509871376885308,0.0,0.10998669659649885,776912.3555555556,0.7787933123553241,0.13253490306712962
11,5e-05,0.02974351484547643,0.026145731608072917,0.08012369791666667,0.014332135998401321,0.0001219982335927501,0.00019331257869200898,0.05359761254126284,0.003980698830941144,0.0,0.09078130457832032,781788.1108193278,0.5560036667254793,0.127182500076895,0.10088236490885416,0.0940959393536603,0.1010213781286169,0.15318580910011573,0.011700733326099538,0.00012594206465615167,0.00020060881420418068,0.04602982415093316,0.0034614471152976706,0.0,0.08012370356807003,782065.92,0.7785343424479166,0.12434222186053241
12,5e-05,0.031061581641185183,0.02862261454264323,0.08967534948278356,0.01503044759713802,0.00013204789390611882,0.0002138322103265262,0.05475291684896004,0.004043410430435373,0.0,0.09079524101454671,782320.412289916,0.5271063790100963,0.12158015855595845,0.10964402940538194,0.10767292163990162,0.12335399486400463,0.17007792154947918,0.013353205080385561,0.00012411912282307943,0.00019875054006223325,0.05210872508861401,0.0036009912137632016,0.0,0.0896753438313802,778394.9274074074,0.7591875542534722,0.1247147962782118
13,5e-05,0.032476043352121564,0.029576136271158855,0.09305931939019098,0.015667740490381457,0.00013451136574611368,0.00021782307746488026,0.05896462212089731,0.004202103164015698,0.0,0.09450637893516477,780945.1218487395,0.6281512442256222,0.12380409710297063,0.13331353081597222,0.1098682544849537,0.11652025010850695,0.16849186650028936,0.013025278162073207,0.00012272301647398207,0.0001974311802122328,0.06122119479709202,0.004308354766280563,0.0,0.09305931373878762,780983.9881481482,0.8478775137442129,0.12315273708767362
14,5e-05,0.02778791529791696,0.028929675066912616,0.09859511763961226,0.013563259993875478,0.00012079468124742744,0.00020890700379670247,0.04712308104298696,0.0034945009886717597,0.0,0.08435417573992945,779483.700105042,0.6052617987915248,0.11164587241511385,0.10988367151331019,0.09743457935474537,0.09691611961082176,0.2660121437355324,0.014537715205439814,0.0001250430500065839,0.00020654183846932872,0.04588801631221065,0.003928056646276403,0.0,0.09859511763961226,778279.9170370371,0.8734590205439815,0.12566046820746526
15,4.902259316855335e-05,0.028260655114192422,0.02943162141022859,0.09091342502170138,0.013835664932467356,0.00011866961867475643,0.00019713068657805125,0.048871636390686035,0.003584587273477506,0.0,0.08594576479131434,777722.7011554622,0.5794473752504637,0.11607636013576965,0.09079298231336806,0.11663274694372107,0.10128026891637731,0.22052293565538195,0.013640926502369068,0.00012214799722035726,0.00020790890411094383,0.05647294221100984,0.003986685011121962,0.0,0.09091342502170138,778763.1881481481,0.7875751410590278,0.12123552110460069
16,4.157640672065272e-05,0.02873762756460855,0.0239968674271195,0.07378848605685764,0.013512678925699297,0.00012447844906206273,0.00021347763918549558,0.05175249867078637,0.0034007125792383146,0.0,0.08355190786493927,776769.7972689075,0.5618327774670946,0.12381511247333359,0.08747363620334202,0.08627976594147858,0.10379269070095486,0.13184600830078125,0.010693333237259477,0.00011558457657142921,0.00019018162179876256,0.04236161126030816,0.0029668783258508754,0.0,0.07378848605685764,776506.5955555555,0.8146104600694445,0.11700645164207175
17,2.9018481006140187e-05,0.02582421443354683,0.020990463539406104,0.06262230767144097,0.012426818333597494,0.0001118950528790196,0.000187686642843686,0.04420227713945533,0.0028880546573831255,0.0,0.075433866222616,775993.3823529412,0.5773510126506581,0.11723018647367213,0.07906430279767072,0.07701889603226274,0.07871212429470487,0.10973762794777199,0.00924162052295826,0.00011210183302561442,0.00018688716270305491,0.032938365229853876,0.0023556029355084455,0.0,0.06262231332284433,772798.6725925925,0.7994417317708333,0.12029972782841435
18,1.5341800470949376e-05,0.022383034914074576,0.0202346349645544,0.06001825403284144,0.010625000663508638,0.00011672750260455176,0.00019777791545921527,0.03211270160033923,0.0021254300069408257,0.0,0.05939461491188081,775183.3445378151,0.5946689100325608,0.11047538185194761,0.07615340621383102,0.07324098375108506,0.07423871640805844,0.10458973072193287,0.008880521986219619,0.00010957670432549935,0.0001837986707687378,0.031065586231372976,0.002199133767022027,0.0,0.06001825403284144,775062.7081481481,0.7724055085358796,0.12154395209418403
19,4.895074757940274e-06,0.021541995458117053,0.019712309660734954,0.05865615279586227,0.010167968330294395,0.00011286999980264594,0.00019329493718506463,0.030722086169138674,0.0020217914290788794,0.0,0.057687919759074176,775682.1864495798,0.5508777917433185,0.11222139132373474,0.07338777895326967,0.07197448165328414,0.0727340754756221,0.1014945701316551,0.00866130546287254,0.00010860825026476825,0.00018282629825450757,0.030010898731372974,0.002126525949548792,0.0,0.05865615279586227,774879.2888888889,0.7605516673900463,0.11189565022786459
