epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,6.287500000000001e-05,0.1027920689880848,0.051296875,0.1677059783935547,0.05548361125588417,0.00019318577615194953,0.00028095564927207306,0.2509944553375244,0.057494991898536685,0.0,0.3392293276786804,803904.9955,0.44921923863887786,0.0,0.21738114929199218,0.20267379760742188,0.21548329162597657,0.34275018310546873,0.023144859313964844,0.0001855875104665756,0.00026581525802612307,0.1258176040649414,0.013106146812438964,0.0,0.16770599365234376,795078.592,0.734937744140625,0.0
2,9.98846040749317e-05,0.28971819642186164,0.24804481506347656,0.914063720703125,0.15789097169041633,0.0005569133268436417,0.0008922317376127467,0.6932103595733643,0.5418990087509156,0.0,0.919681804060936,37310569224.4435,488.6526188349724,0.0,1.048093994140625,1.2628507080078124,1.3610399169921874,1.31513720703125,0.13261688232421875,0.000392644464969635,0.0005199070572853089,0.638637939453125,0.451755859375,0.0,0.914063720703125,975678.784,1056.331375,0.0
3,9.85925709251981e-05,0.24585921609401704,0.17305352783203126,0.6548087158203125,0.1394488050043583,0.00035542761330725623,0.0003825047566788271,0.5909268498420716,0.40887492334842684,0.0,0.8298173151016235,895265.6485,3977.346535583496,0.0,0.9018069458007812,0.8092744140625,0.7941885986328125,1.1072373046875,0.09508820343017578,0.00031391572952270505,0.0002987931966781616,0.4151302490234375,0.23723463439941406,0.0,0.6548086547851563,896345.024,1350.229375,0.0
4,9.590195942451992e-05,0.16732851564884185,0.1437883758544922,0.5291881713867187,0.09608169883489609,0.00030457463569473475,0.00027707976289093495,0.3734538888931274,0.18118736863136292,0.0,0.5718494284152985,868459.295,1938.918415283203,0.0,0.821169677734375,0.5335689697265625,0.584912841796875,0.9118027954101563,0.07688131713867187,0.00030088773369789124,0.0002833311855792999,0.34575115966796877,0.14152360534667968,0.0,0.5291881713867187,1058538.944,740.77775,0.0
5,9.189101515060819e-05,0.12629716315865516,0.1036310577392578,0.364933837890625,0.06713420042395592,0.00031377894719480535,0.0003011311469599605,0.28982676362991333,0.09677251195907592,0.0,0.4241650974750519,29103559.107,578.0741382446289,0.0,0.47798138427734377,0.506068115234375,0.45945516967773437,0.55483837890625,0.05068655014038086,0.00029269206523895264,0.0002824975848197937,0.25539930725097654,0.06758534240722656,0.0,0.36493380737304687,2499629.568,137.1824375,0.0
6,8.667638023176716e-05,0.1069543733894825,0.08570844268798829,0.2987278137207031,0.0553831457644701,0.0003231587058398873,0.00031287771061761307,0.236088604927063,0.05775250923633576,0.0,0.33727155232429507,9926604.3355,368.0364864501953,0.0,0.39842901611328124,0.431770263671875,0.378649169921875,0.38489453125,0.04168207931518555,0.0002804640829563141,0.000268797367811203,0.20002105712890625,0.045810585021972654,0.0,0.2987278137207031,1030229.952,160.81025,0.0
7,8.040970128129418e-05,0.08567408254742623,0.0776505126953125,0.2669161071777344,0.043882818400859835,0.0002791236703051254,0.00028157789594843055,0.18556719970703126,0.037058956503868104,0.0,0.2737004152536392,962290.632,142.07583018493654,0.0,0.359286376953125,0.3492030029296875,0.3045002746582031,0.4866981201171875,0.036467174530029296,0.0002650972604751587,0.00026652026176452636,0.1861898193359375,0.029995208740234376,0.0,0.2669161071777344,959684.864,41.00153125,0.0
8,7.327321936769204e-05,0.06987604574859142,0.05840489959716797,0.1896995391845703,0.03467682457715273,0.0002650173154834192,0.00027800880730501374,0.14632236289978026,0.02346716833114624,0.0,0.2160233007669449,896832.5325,51.87771383285522,0.0,0.2499929656982422,0.2523247375488281,0.246418701171875,0.3006936645507812,0.027374706268310546,0.0002406672090291977,0.0002636773884296417,0.12664556884765624,0.018664155960083008,0.0,0.1896995391845703,904460.224,17.45091015625,0.0
9,6.547447026861325e-05,0.06048253113031387,0.05343069839477539,0.17126304626464844,0.03047146760672331,0.00024162611964857205,0.0002717176433361601,0.11953171062469482,0.016254094004631042,0.0,0.18318502336740494,889428.8675,30.2142387714386,0.0,0.23709593200683593,0.22219766235351562,0.22803485107421875,0.24871482849121093,0.024446678161621094,0.00022299979627132417,0.00025728592276573183,0.11889351654052735,0.015475980758666992,0.0,0.17126304626464844,905624.512,11.932904296875,0.0
10,5.724024913026422e-05,0.04924937514960766,0.04730361938476563,0.15507099914550782,0.024577062875032425,0.00018561716354452074,0.0002192810022388585,0.10260969114303589,0.012088978409767151,0.0,0.15423460388183594,899376.6535,20.534699085235594,0.0,0.21892390441894533,0.20914053344726563,0.1804574737548828,0.24343389892578124,0.02183461380004883,0.00021002045273780823,0.0002494340240955353,0.09978653717041015,0.01229884147644043,0.0,0.15507099914550782,898338.624,9.8801689453125,0.0
11,4.8810015045794595e-05,0.046689103633165356,0.042785285949707035,0.1383809814453125,0.022828863993287086,0.00019996232437551954,0.00024527940090047194,0.09241415166854858,0.010114891171455384,0.0,0.14024954271316528,887816.431,15.480393451690674,0.0,0.1802650909423828,0.17172705078125,0.161096435546875,0.263885498046875,0.019827547073364257,0.000198562353849411,0.00024247710406780242,0.0868641357421875,0.010019100189208985,0.0,0.1383809814453125,892391.936,8.1467890625,0.0
12,4.0428927353894644e-05,0.04130990954488516,0.0389871826171875,0.12506744384765625,0.020662327345460654,0.0001846056211797986,0.0002350957579910755,0.07611533784866333,0.008450323700904845,0.0,0.12527737629413604,882027.0035,10.92732774066925,0.0,0.16695098876953124,0.15905307006835936,0.16472068786621094,0.18892489624023437,0.018099300384521483,0.00019112116098403932,0.0002407117336988449,0.07554549407958984,0.00860275650024414,0.0,0.12506744384765625,882516.352,5.605650390625,0.0
13,3.2340716168753714e-05,0.04012004650384188,0.03800993728637695,0.12347654724121093,0.01976765704154968,0.0001923507137980778,0.0002453975948446896,0.07156568956375121,0.007644586563110352,0.0,0.11781424793601036,882299.3425,7.201147444725037,0.0,0.16000839233398437,0.14499725341796876,0.15308914184570313,0.2172430877685547,0.017737560272216797,0.0001831718385219574,0.0002350548654794693,0.07409188842773437,0.007955501079559326,0.0,0.12347654724121093,885843.776,4.913287109375,0.0
14,2.478059447324605e-05,0.03677851743996143,0.033749176025390626,0.10857234191894531,0.018299978394061327,0.00017646685268846342,0.0002320808795047924,0.06436797428131104,0.006368126034736634,0.0,0.1064608174264431,879515.2495,7.154615973472596,0.0,0.14233685302734375,0.13561099243164063,0.1402457733154297,0.16989013671875,0.015567834854125977,0.0001762884557247162,0.0002286631464958191,0.06244610595703125,0.006831360816955566,0.0,0.10857233428955078,880419.904,4.12786181640625,0.0
15,1.796841789851036e-05,0.03433965357393026,0.03150138473510742,0.10148272705078125,0.0169566232226789,0.0001728421659063315,0.00022754291562887373,0.0582728123664856,0.006252306818962097,0.0,0.1032559249997139,873185.776,5.144352931022644,0.0,0.13781033325195313,0.12676870727539064,0.12571977996826172,0.14932122802734374,0.014589419364929199,0.00017250676453113556,0.0002260122001171112,0.05524418640136719,0.0062207202911376954,0.0,0.10148271942138672,874290.944,3.4122607421875,0.0
16,1.2102291110131215e-05,0.03386247405409813,0.03060196304321289,0.09823925018310548,0.016676589053124188,0.00018061507113452534,0.0002423037662083516,0.05436754083633423,0.005620297431945801,0.0,0.09647516563534736,870846.5065,4.1230031595230106,0.0,0.13172286987304688,0.12318973541259766,0.1243023681640625,0.1409986572265625,0.014166547775268554,0.000169574499130249,0.0002241968810558319,0.05304458236694336,0.005887125968933106,0.0,0.09823924255371094,871206.272,2.93205859375,0.0
17,7.3528067333788074e-06,0.03277808282524347,0.029993057250976562,0.09624274444580078,0.016190111208707093,0.0001721843676350545,0.0002314141121460125,0.05319168519973755,0.005435003519058228,0.0,0.09465939474105835,867314.5015,3.785252944946289,0.0,0.1291392822265625,0.12038898468017578,0.12137173461914062,0.13823600769042968,0.01388431739807129,0.00016736280918121338,0.0002226184606552124,0.051604000091552735,0.005671952247619629,0.0,0.09624273681640624,869955.328,2.67337109375,0.0
