epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_vrmse_chmean,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,3.1437500000000005e-05,0.14090302483737469,0.03592736053466797,0.1535988464355469,0.056639610797166826,0.00018724127137102186,0.0002690944844798651,0.018453647136688234,0.06434675800800324,0.0,0.3385455070734024,74901.35161523438,0.4721396334171295,0.0,0.1834256134033203,0.1552371826171875,0.16763064575195313,0.40481475830078123,0.22777706909179687,0.02138872718811035,0.00016325159370899202,0.00023644474148750306,0.013705595970153809,0.009964611053466797,0.0,0.1535988464355469,6376.0535,0.4950068359375,0.0
2,4.9942884845168216e-05,0.5381278683543205,0.17161074829101564,1.0669786376953125,0.11361910649389029,0.001232303862372646,0.0026331351809785702,0.05654881477355957,0.3842087434530258,0.0,0.7459239725470543,362893.56844873045,1.2271396584510803,0.0,1.3085439453125,1.3140576171875,1.3341448974609376,1.7854805908203124,1.4355567626953125,0.1546771697998047,0.0003059682250022888,0.00027834194898605346,0.0492412109375,0.8777632446289062,0.0,1.0669786376953125,1635.172375,1.09602197265625,0.0
3,4.930339369024957e-05,0.19346526312828063,0.1702720184326172,1.076385498046875,0.17751547330617903,0.0003146464447490871,0.0002755034072324634,0.05146825647354126,0.9097354092597961,0.0,1.0688609209060669,217.4673924255371,0.8316775455474853,0.0,1.3836436767578124,1.314463623046875,1.32376318359375,1.7538548583984375,1.4439312744140624,0.15529922485351563,0.00029794129729270936,0.0002610091269016266,0.04856847000122071,0.8465684204101562,0.0,1.076385498046875,75.71353125,0.861876708984375,0.0
4,4.7971676886883606e-05,0.3727064092159271,0.17087171936035156,1.08108154296875,0.18286438417434692,0.003742757196247112,0.01143380708200857,0.05401230096817017,0.8970635919570923,0.0,1.1166710538864135,2704.170235290527,2.0432347526550294,0.0,1.3920318603515625,1.323806884765625,1.331506591796875,1.7618330078125,1.452294677734375,0.15575196838378907,0.00029615533351898195,0.0002565558552742004,0.048390933990478516,0.9242666015625,0.0,1.0810816650390624,311.983125,0.8548685302734375,0.0
5,4.5986462044240416e-05,0.27461988109350205,0.1697571563720703,1.066807861328125,0.17365744858980178,0.00032984932250110433,0.0003064982264477294,0.0534375,0.8794229416847229,0.0,1.0639287557601929,84469.96747192382,2.589085053920746,0.0,1.3516956787109375,1.310713134765625,1.3271546630859374,1.720423095703125,1.42749658203125,0.15473973083496093,0.0002970685958862305,0.00025872409343719483,0.04840268707275391,0.8784629516601562,0.0,1.066807861328125,164.00090625,0.93489111328125,0.0
6,4.340548112481404e-05,0.2019363968372345,0.16815542602539063,1.049708740234375,0.18522934764623641,0.0003325654604122974,0.00028794549929443746,0.05261222553253174,0.9019195256233216,0.0,1.0744699020385742,78.77599154663086,0.8675141425132752,0.0,1.2883721923828124,1.302289794921875,1.3042554931640624,1.7250111083984374,1.404982177734375,0.15319721984863283,0.00029747503995895385,0.0002621587514877319,0.04812345886230469,0.7697676391601562,0.0,1.049708740234375,84.4697421875,0.9185513305664063,0.0
7,4.0303791543266814e-05,0.1971673827767372,0.15941091918945313,0.9801454467773437,0.1775764102935791,0.00033627922943560407,0.00037559147615684197,0.05105622053146362,0.8318918409347534,0.0,1.0643000650405883,2777.011988708496,2.9765741491317748,0.0,1.293291015625,1.3002821044921875,1.095443359375,1.775762451171875,1.3661947021484375,0.14182069396972657,0.0003050165772438049,0.0002762067019939423,0.046867645263671875,0.5818688354492187,0.0,0.9801455078125,2339.4005,2.028639404296875,0.0
8,3.677159342441323e-05,0.18581449043750764,0.15261245727539063,0.9434088134765625,0.16884588414430618,0.00031602081510936843,0.00027190831454936416,0.05091210412979126,0.6714334049224854,0.0,1.0310560703277587,1167.565287109375,1.2751679849624633,0.0,1.1792802734375,1.297755615234375,1.15908349609375,1.6570174560546875,1.3232841796875,0.13729960632324217,0.00029735293984413147,0.0002561353147029877,0.04584124755859375,0.5801779174804688,0.0,0.9434088134765625,445.19,1.0000342407226563,0.0
9,3.291160649658636e-05,0.1757602124810219,0.15828242492675781,0.998682861328125,0.15951292902231218,0.00031681691255653276,0.000270745974034071,0.04827943229675293,0.5587679476737976,0.0,0.9562045860290528,406.4379123535156,0.9169863801002502,0.0,1.1996221923828125,1.285294921875,1.2798370361328124,1.6511324462890624,1.3539716796875,0.14262025451660157,0.0002957542836666107,0.0002548400461673737,0.04615803909301758,0.6431516723632813,0.0,0.998682861328125,874.45075,1.404808349609375,0.0
10,2.8836082902858047e-05,0.160118636906147,0.14482833862304687,0.8993714599609375,0.1457389259338379,0.0002728280946030281,0.00023175222895224578,0.04485588455200195,0.486394152879715,0.0,0.9117366857528687,738.306306640625,0.9592971358299255,0.0,1.17101904296875,1.32380322265625,0.8595314331054688,1.515632568359375,1.21749658203125,0.12944552612304688,0.0002997165024280548,0.0002632956802845001,0.04465503692626953,0.47334756469726563,0.0,0.8993714599609375,397.0000625,0.9162244873046875,0.0
