epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_vrmse_chmean,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,3.1437500000000005e-05,0.05768729054927826,0.036006084442138674,0.20145079040527344,0.04727607353776693,0.00017451967208762653,0.0002600686582154594,0.01651185131072998,0.04588022196292877,0.0,0.28362881791591643,806573.1225,0.41928603720664975,0.16852333849668502,0.3365198974609375,0.19968290710449219,0.2834151611328125,0.31234515380859373,0.28299078369140623,0.026417394638061524,0.00015957438945770263,0.00023576052486896514,0.013536459922790527,0.010876287460327148,0.0,0.2014508056640625,791612.48,0.5557962646484375,0.16099685668945313
2,4.9942884845168216e-05,0.03595123784244061,0.03385275650024414,0.16826028442382812,0.02521515426784754,0.0001839327318884898,0.0003016879560891539,0.014975515842437745,0.011006609797477722,0.0,0.1603205525279045,795945.675,0.38204428541660307,0.15394470518827438,0.1834669647216797,0.21036422729492188,0.19256134033203126,0.40058938598632815,0.2467454833984375,0.02289436149597168,0.00018911537528038024,0.0003812245726585388,0.01379551887512207,0.010377181053161622,0.0,0.16826028442382812,790654.208,0.56813623046875,0.15026255798339844
3,4.930339369024957e-05,0.029219407826662065,0.028102294921875,0.14845126342773438,0.01991223458200693,0.00015607846857164986,0.000259064497979125,0.012427011489868163,0.007770473003387451,0.0,0.13180538088083268,788282.6985,0.3833569808006287,0.15032497590780258,0.14080865478515625,0.17254525756835937,0.20433880615234376,0.3542720947265625,0.21799119567871095,0.019882251739501953,0.00013581342995166778,0.0002098163962364197,0.010737624168395996,0.010614895820617675,0.0,0.14845126342773438,785318.656,0.587174560546875,0.14293734741210937
4,4.7971676886883606e-05,0.024709448106586932,0.021312076568603514,0.09383878326416016,0.01685382757335901,0.00012915941957908217,0.00020257397141540423,0.01033930730819702,0.005470280289649963,0.0,0.10916061836481095,782960.9785,0.40137630701065063,0.13976496464014054,0.11030879211425781,0.12266094970703124,0.11524856567382813,0.1896294860839844,0.13446194458007812,0.013270915031433106,0.0001339726597070694,0.00021488061547279358,0.010037031173706055,0.004681007385253906,0.0,0.0938387908935547,782666.304,0.5885422973632812,0.13425267028808593
5,4.5986462044240416e-05,0.02517060598358512,0.025274139404296875,0.128328125,0.017323012184351682,0.00012978943916095887,0.000205842444600421,0.010196385860443115,0.005732912063598633,0.0,0.11196822959184646,778764.7485,0.4066544086933136,0.13581219667196273,0.11663471221923828,0.20062281799316406,0.16744035339355468,0.23932318115234374,0.1810052490234375,0.017713546752929688,0.00012618345022201538,0.000195031002163887,0.009858828544616699,0.005665006637573242,0.0,0.128328125,774723.84,0.6007530517578125,0.1251419677734375
6,4.340548112481404e-05,0.026269719861447813,0.021176387786865234,0.09331674194335937,0.017291817858815194,0.0001528571264934726,0.00027402588626137,0.010652626991271973,0.005419801592826843,0.0,0.10793139514327049,777321.7755,0.39893619632720945,0.1335045741200447,0.10616679382324219,0.09543355560302734,0.1522248840332031,0.17046612548828124,0.1310728302001953,0.013027590751647949,0.00013610947132110596,0.0002442862242460251,0.009538867950439452,0.004209842681884766,0.0,0.09331674194335937,773378.176,0.5993890380859375,0.13433241271972657
7,4.0303791543266814e-05,0.02208076647669077,0.01983138084411621,0.09027421569824219,0.014826630555093288,0.00011949856762657873,0.00020036589552182703,0.009135459423065186,0.004352987408638,0.0,0.09623028370738029,773822.4885,0.4127258334159851,0.12792075824737548,0.10632852172851562,0.10210955047607422,0.1079246368408203,0.197388671875,0.12843785095214844,0.012591238021850587,0.00011948992311954498,0.00019037151336669922,0.00870296573638916,0.00399033784866333,0.0,0.09027421569824219,771194.944,0.6117379150390625,0.1265646209716797
8,3.677159342441323e-05,0.021874281376600267,0.02011446952819824,0.09422767639160157,0.014592452354729175,0.00012007950266706757,0.00019634432697785087,0.009080393314361572,0.004217574119567871,0.0,0.09415014407038688,770876.759,0.4196961238384247,0.12778539150953294,0.1079013900756836,0.13284953308105468,0.11562690734863282,0.17578585815429687,0.13304092407226562,0.012991714477539062,0.00011844661086797714,0.00018992139399051666,0.00863036346435547,0.004208988189697266,0.0,0.09422767639160157,769102.656,0.6152811279296875,0.12004239654541016
9,3.291160649658636e-05,0.020027409054338932,0.01751776313781738,0.07608953857421875,0.012866390604525805,0.00011877648762310855,0.0001994930274086073,0.008380489349365234,0.003204809308052063,0.0,0.07851498639583587,769504.8885,0.4327504737377167,0.12221941834688187,0.08695829010009766,0.09619704437255859,0.0868197479248047,0.16349441528320313,0.10836737060546875,0.010691435813903808,0.00011356775462627411,0.0001875586211681366,0.007997088432312012,0.003173912525177002,0.0,0.07608953094482422,769782.784,0.6302642211914062,0.11479414367675782
10,2.8836082902858047e-05,0.01726489270105958,0.018481678009033203,0.08780268859863281,0.011536129988729953,9.240623429650441e-05,0.00015475481959583703,0.007183744430541992,0.002834538698196411,0.0,0.07478352886438369,768415.913,0.4525726473331451,0.11084510400891304,0.09528926086425782,0.10829053497314453,0.08966986846923829,0.21501577758789062,0.12706636047363282,0.011769682884216308,0.00011134823411703109,0.00018277151882648468,0.007784677505493164,0.003431943893432617,0.0,0.08780268859863281,767551.808,0.6302723999023437,0.11445834350585937
