epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_vrmse_chmean,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,3.1437500000000005e-05,0.05676093926280737,0.031488601684570315,0.15807720947265624,0.046134215079247955,0.00016702593075751791,0.0002549999816692434,0.015169516563415527,0.04558844995498657,0.0,0.2704508599638939,804456.992,0.38936889004707337,0.0,0.18638375854492187,0.1670026397705078,0.1726094970703125,0.399574462890625,0.23139259338378906,0.022020784378051758,0.00015164689719676972,0.00022452786564826965,0.012569797515869141,0.010576752662658692,0.0,0.1580772247314453,793320.256,0.556303955078125,0.0
2,4.9942884845168216e-05,0.3641432830244303,0.11843245697021484,0.6289512939453125,0.09655552424490452,0.005208221430977574,0.012640693294466473,0.047844642162322995,0.20301574409008027,0.0,0.6120066786408425,3044936010.9875,12.743331251740456,0.0,0.7757962646484375,0.659919189453125,0.6706892700195313,1.4617894287109374,0.892048583984375,0.09415525817871094,0.0003521510362625122,0.00041598862409591677,0.04446435928344727,0.1958011169433594,0.0,0.6289512329101562,833617.088,25.125728515625,0.0
3,4.930339369024957e-05,0.08142838814854622,0.050862388610839845,0.24097523498535156,0.0603674031496048,0.0003123169332393445,0.00033230879285838454,0.03630092048645019,0.07996860468387604,0.0,0.3824346101284027,936927.627,14.58640841293335,0.0,0.3011993408203125,0.29091323852539064,0.3088610534667969,0.46621743774414065,0.34179779052734377,0.03339275741577148,0.00026359522342681886,0.0002771679162979126,0.028599149703979494,0.026714670181274415,0.0,0.24097523498535156,854802.368,4.03198095703125,0.0
4,4.7971676886883606e-05,0.043596644416451454,0.03398580169677735,0.1573823547363281,0.029132442265748976,0.0002222102918312885,0.00025742130904109217,0.022357916831970213,0.017176862955093384,0.0,0.18844532305002212,833129.388,2.2605829491615297,0.0,0.20396546936035156,0.20177200317382812,0.20045394897460939,0.2757325744628906,0.22048100280761718,0.021655797958374023,0.00019464147090911865,0.0002442081123590469,0.01731954574584961,0.012365679740905761,0.0,0.1573823547363281,811354.624,1.983223388671875,0.0
5,4.5986462044240416e-05,0.03452294740825892,0.03053342819213867,0.14289656066894532,0.02322461299598217,0.00017805770441191272,0.00023995068573276512,0.015969660758972166,0.010433244109153748,0.0,0.14984402173757552,812431.3345,1.5298705306053162,0.0,0.16216520690917968,0.1789697265625,0.1860201873779297,0.2904655456542969,0.2044051818847656,0.020020893096923828,0.000167727530002594,0.00022816488146781922,0.014174400329589843,0.009585709571838378,0.0,0.14289654541015626,820398.08,1.5689185791015625,0.0
6,4.340548112481404e-05,0.03287896624207497,0.02550099182128906,0.11499614715576172,0.02190250141173601,0.00017708842974388972,0.00025298954092431815,0.01414695405960083,0.008151179313659667,0.0,0.13292121654748917,815193.4485,1.2453968029022218,0.0,0.12884101867675782,0.13138815307617188,0.18490518188476562,0.19398989868164063,0.15978106689453125,0.016023439407348634,0.00015283137559890747,0.00022231078147888183,0.012239887237548827,0.006463867664337158,0.0,0.11499615478515625,810132.48,1.4844669189453126,0.0
7,4.0303791543266814e-05,0.02624665892124176,0.02283057975769043,0.09878352355957032,0.017429734274744986,0.00014169332452001982,0.0002119951889908407,0.011548388957977294,0.005895421385765076,0.0,0.10946600103378296,807800.5165,1.080503623008728,0.0,0.12719869995117186,0.12345049285888672,0.12046316528320312,0.18260275268554688,0.13842877197265624,0.014147608757019044,0.00014121392369270325,0.00021030144393444062,0.010815172195434571,0.004920941829681396,0.0,0.09878352355957032,798225.856,1.2002191162109375,0.0
8,3.677159342441323e-05,0.026343960225582122,0.02177490234375,0.09586826324462891,0.017608719542622567,0.00014111509516078513,0.00021453588880831375,0.011196572780609131,0.006312910556793213,0.0,0.11449026864767074,800751.329,1.1069055817127227,0.0,0.11951961517333984,0.12524180603027343,0.11941361236572266,0.1759140625,0.13502227783203125,0.013453243255615234,0.00013572801649570465,0.00020521751046180726,0.010235064506530762,0.004528864860534668,0.0,0.09586826324462891,794304.128,1.32773193359375,0.0
9,3.291160649658636e-05,0.023621792629361153,0.020163604736328125,0.08718509674072265,0.015364984598010778,0.00013500107724394184,0.00020941756098181942,0.010045028686523438,0.0042972080707550046,0.0,0.09389540067315101,798946.765,1.1355898716449737,0.0,0.11671759033203125,0.10678800964355468,0.10867452239990234,0.15551535034179687,0.12192386627197266,0.01228430938720703,0.0001294553428888321,0.000201628714799881,0.009376847267150878,0.004235004901885987,0.0,0.08718508911132812,788531.008,1.1348348388671874,0.0
10,2.8836082902858047e-05,0.019510766096413137,0.021354509353637696,0.0993769760131836,0.013015786964446305,0.00010476173341157847,0.000165994486247655,0.008379281997680664,0.003658413529396057,0.0,0.08417885738611221,789005.11,1.0768310391902924,0.0,0.1311560821533203,0.11374842834472657,0.11068547821044922,0.20857560729980468,0.14104139709472657,0.013714153289794922,0.0001255826950073242,0.00019663214683532715,0.009074810981750489,0.004973550796508789,0.0,0.0993769760131836,785272.448,1.1700296630859375,0.0
11,2.466354280044379e-05,0.020759834825992585,0.018293441772460936,0.07632843017578125,0.013430685885250569,0.00011974666969035752,0.0001908429860486649,0.008945435047149659,0.003562723755836487,0.0,0.08338359823822974,788210.103,1.0163786249160767,0.0,0.09134001922607422,0.09298563385009766,0.09624242401123047,0.1487962188720703,0.10734107208251953,0.010926709175109864,0.0001215018481016159,0.00019202466309070588,0.00861094093322754,0.003356722354888916,0.0,0.07632842254638672,787022.144,1.071602783203125,0.0
12,2.0515327680210476e-05,0.020295561857521533,0.01843155860900879,0.078456787109375,0.013311017874628305,0.00011514481360791251,0.0001863384005409898,0.008182021617889404,0.0034456088542938234,0.0,0.08262459987401963,785891.637,0.9358803577423096,0.0,0.0979950408935547,0.09001007080078124,0.10004151916503906,0.15591990661621094,0.11099163055419922,0.01114006519317627,0.00011999841034412385,0.0001915552318096161,0.00861048984527588,0.003317584991455078,0.0,0.078456787109375,783270.016,1.0329439697265625,0.0
13,1.651207163908012e-05,0.019952345069497824,0.018165992736816405,0.07968886566162109,0.012575517553836107,0.00012180199864087626,0.0001960333614551928,0.008578185081481934,0.0030990257263183592,0.0,0.07657835817337036,782499.821,0.7946960558891296,0.0,0.1065972900390625,0.11501081085205078,0.08870790863037109,0.13014662170410157,0.11011566162109375,0.011088908195495606,0.00011688143014907837,0.00018829384446144104,0.008220079421997071,0.0034426023960113525,0.0,0.07968887329101562,782473.984,0.9747661743164062,0.0
14,1.2770193224131885e-05,0.01823648756183684,0.01657872772216797,0.06712937927246093,0.011340131510049105,0.00011369893424853217,0.0001862846236836049,0.008076062202453613,0.0025388156175613404,0.0,0.06600570836663246,779441.076,0.7620259811878204,0.0,0.08249201202392578,0.08188443756103515,0.08259717559814453,0.12359033203125,0.0926409912109375,0.009655927658081055,0.0001148218959569931,0.00018599538505077363,0.007878030776977539,0.002756908416748047,0.0,0.06712937164306641,777880.0,0.8748494262695312,0.0
15,9.39850986895967e-06,0.01770200312137604,0.01634170150756836,0.0662120132446289,0.010900331938639284,0.00011226028983219294,0.00018387005678960122,0.00792437744140625,0.0026279929876327516,0.0,0.06632036963105202,779232.888,0.6356857007741928,0.0,0.08120697784423828,0.0809302749633789,0.08174372100830078,0.12178177642822266,0.09141568756103516,0.00952410888671875,0.00011327282339334488,0.00018439093232154846,0.007693012237548828,0.002670681953430176,0.0,0.0662120132446289,779076.352,0.8352167358398438,0.0
16,6.495073377741711e-06,0.018208279652521014,0.01611961555480957,0.06515727233886719,0.01104200173355639,0.00011936513229738921,0.00019754178087168838,0.007986809253692627,0.0024738956689834596,0.0,0.06401283377408981,779113.1595,0.6345555305480957,0.0,0.0800969467163086,0.07944782257080078,0.08010047912597656,0.1192027359008789,0.08971199798583984,0.00937292194366455,0.00011218340694904328,0.00018308700621128083,0.007583493709564209,0.0026129589080810547,0.0,0.06515726470947265,778657.792,0.8080062866210938,0.0
17,4.144318484197592e-06,0.017700505152344705,0.01600185203552246,0.06454654693603516,0.01080538408830762,0.00011419281462440268,0.00018864129605935886,0.007903202056884766,0.0024458621740341187,0.0,0.06320426496863366,779960.5385,0.6070697910785675,0.0,0.07949906158447266,0.07875191497802735,0.07947380828857421,0.11749391174316406,0.08880467987060547,0.009290566444396972,0.00011161120235919952,0.0001826157420873642,0.007538182735443115,0.0025713186264038086,0.0,0.06454654693603516,778495.744,0.7889576416015625,0.0
18,2.4146074080889003e-06,0.01801476915180683,0.015928823471069335,0.06427179718017578,0.010985391549766063,0.00011745217419229447,0.00019437343842582778,0.007711792945861816,0.0024507120847702024,0.0,0.06312425979971886,778426.0645,0.582013023018837,0.0,0.07910903930664062,0.078418212890625,0.07933328247070312,0.11689311981201173,0.08843841552734374,0.009248504638671875,0.00011116855591535568,0.00018221375346183776,0.0074792723655700685,0.0025494885444641113,0.0,0.06427180480957032,778347.136,0.7793285522460938,0.0
19,1.3562418159286768e-06,0.01719978016614914,0.015881195068359374,0.06403133392333984,0.01061978379637003,0.00010853295622655423,0.0001802118751948001,0.007688990116119385,0.002353283166885376,0.0,0.06242179068922996,777864.3555,0.5477325845956802,0.0,0.07885696411132813,0.07816289520263672,0.0789065704345703,0.11636661529541016,0.08807325744628906,0.009215269088745117,0.00011094581335783005,0.0001820642203092575,0.007457576274871826,0.002533977270126343,0.0,0.06403133392333984,778093.632,0.7743345336914063,0.0
20,1e-06,0.01822083730995655,0.015857128143310546,0.0639210205078125,0.010975909203290939,0.00012082119027763837,0.0002013035689451499,0.008025790691375732,0.002280367136001587,0.0,0.060884137600660325,779045.679,0.5590946609973908,0.0,0.07873880767822265,0.07804327392578125,0.0787464599609375,0.11611043548583984,0.08790974426269531,0.009199966430664062,0.0001108117550611496,0.00018196141719818115,0.00744382905960083,0.002525813102722168,0.0,0.06392102432250976,777845.632,0.7706036987304687,0.0
