step,latent_vrmse_mean,pixel_vrmse_mean
2000.0,0.08909576013684273,0.536733994881312
4000.0,0.0782666765153408,0.4605189561843872
6000.0,0.07581287870804469,0.4412776827812195
8000.0,0.07287177940209706,0.4382237493991852
10000.0,0.07331285004814465,0.44175635774930316
12000.0,0.07062174379825592,0.42728296915690106
14000.0,0.0712572547296683,0.43646151820818585
16000.0,0.07192235440015793,0.4390370547771454
18000.0,0.07167671496669452,0.43509366114934284
20000.0,0.07125928501288097,0.43384039402008057
22000.0,0.0721303087969621,0.4396906892458598
24000.0,0.07170434917012851,0.43655479947725934
26000.0,0.07256658002734184,0.4400342603524526
28000.0,0.07168615981936455,0.43674005071322125
30000.0,0.07176660125454266,0.43687819441159564
30059.0,0.0721600241959095,0.4393775264422099
