epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,3.1437500000000005e-05,0.05636466744542122,0.027656673431396484,0.1488565673828125,0.047646966315805915,0.0001743540188326733,0.00026181939596426674,0.1940184655189514,0.04991303360462189,0.0,0.28543517434597016,803386.2395,0.392076584815979,0.0,0.16521588134765625,0.15164723205566405,0.1695679931640625,0.38583642578125,0.019843704223632814,0.00015625935792922975,0.00023283012211322785,0.12481002807617188,0.011425148963928223,0.0,0.1488565673828125,794936.192,0.5090252990722657,0.0
2,4.9942884845168216e-05,0.03156376806646585,0.03137779808044434,0.16814114379882814,0.022993474692106247,0.0001714058666548226,0.0002753460308013018,0.11680231428146362,0.008846236944198609,0.0,0.1449437792301178,797012.089,0.34590215802192686,0.0,0.191059326171875,0.153516845703125,0.1605982666015625,0.487251708984375,0.022572771072387695,0.000176100492477417,0.00032606241106987,0.1310379638671875,0.013733083724975587,0.0,0.16814114379882814,795875.584,0.578905517578125,0.0
3,4.930339369024957e-05,0.027513719856739043,0.022918903350830078,0.11818040466308594,0.02023744162172079,0.0001455255643231794,0.00023227073467569425,0.09899693870544433,0.008027679920196533,0.0,0.1347732563018799,795450.7825,0.35846423637866975,0.0,0.10997402954101562,0.17529788208007813,0.14258164978027343,0.2556962890625,0.01615133285522461,0.00013535137474536896,0.00020762963593006135,0.07705104064941407,0.00682465934753418,0.0,0.11818040466308594,799270.272,0.57979150390625,0.0
4,4.7971676886883606e-05,0.02286561796069145,0.023729629516601562,0.1253079833984375,0.016616486974060537,0.0001249826202110853,0.00019842192676151172,0.07279246950149536,0.005370345711708069,0.0,0.10701154965162277,793005.654,0.35847013795375826,0.0,0.17866827392578125,0.1868643798828125,0.13044627380371093,0.19805885314941407,0.017008411407470704,0.00013442438840866088,0.0002164839655160904,0.08529029083251953,0.007227720737457276,0.0,0.1253079833984375,790524.928,0.6196541137695313,0.0
5,4.5986462044240416e-05,0.024333843138068915,0.023029523849487303,0.12566468048095703,0.0174620694629848,0.00013743547309422866,0.000243598696164554,0.07762265872955322,0.005459269523620605,0.0,0.11177601462602615,791075.9565,0.39877065193653105,0.0,0.1423875732421875,0.1439352264404297,0.19785667419433595,0.20902401733398437,0.016761465072631834,0.00012536114454269408,0.00019850149750709532,0.08857949829101562,0.006994251251220703,0.0,0.1256646728515625,785188.736,0.6739953002929687,0.0
6,4.340548112481404e-05,0.023776756063103675,0.01936079216003418,0.09427230072021485,0.01687768367305398,0.000137981447216589,0.0002222474423761014,0.06999281263351441,0.004979531168937683,0.0,0.10253779709339142,791114.414,0.3648559101819992,0.0,0.13335191345214845,0.11446087646484375,0.11273316192626953,0.16847373962402343,0.013269161224365235,0.00012183262407779694,0.00019451633095741273,0.05811480712890625,0.004417033195495606,0.0,0.09427230072021485,789005.696,0.5769335327148437,0.0
7,4.0303791543266814e-05,0.02023655652999878,0.01853963851928711,0.0898672866821289,0.014413215670734643,0.00011646681593265385,0.00019350838373065926,0.05857390975952149,0.003951233148574829,0.0,0.09074132883548737,787309.1295,0.36451420378684996,0.0,0.09561521148681641,0.13332835388183595,0.10336916351318359,0.16813681030273436,0.01262235164642334,0.0001183457151055336,0.00019046354293823241,0.05281418609619141,0.003646195411682129,0.0,0.08986729431152343,790129.088,0.6252904052734375,0.0
8,3.677159342441323e-05,0.019544619660824537,0.017433088302612306,0.08141215515136718,0.013660045124590396,0.00011769148957682774,0.00019490534358192234,0.05593239784240723,0.0038359333276748657,0.0,0.08807650896906853,785098.0625,0.36981872892379763,0.0,0.09029832458496094,0.10372303771972656,0.09420106506347656,0.18163453674316407,0.011654586791992187,0.00011557002365589142,0.0001877591162919998,0.04732097625732422,0.0036148712635040285,0.0,0.08141214752197265,785078.336,0.5748746337890625,0.0
9,3.291160649658636e-05,0.01840916557237506,0.01610127639770508,0.0717632827758789,0.012561072520911694,0.0001169618595886277,0.00019873650837689638,0.044504952430725095,0.002952673316001892,0.0,0.07537166333198547,784140.3895,0.38376051807403566,0.0,0.08710812377929687,0.08644451141357422,0.08557478332519532,0.1457594451904297,0.010422088623046876,0.00011358371376991272,0.000190386563539505,0.03977079010009766,0.0029424571990966796,0.0,0.0717632827758789,782561.92,0.5652115478515625,0.0
10,2.8836082902858047e-05,0.016022224467247725,0.01862520980834961,0.09798479461669922,0.011467425867915153,9.109597287897486e-05,0.0001540505033917725,0.04409535074234009,0.0028270461559295654,0.0,0.07369199034571648,781609.3365,0.39969107699394224,0.0,0.10661270141601563,0.08636482238769531,0.10976962280273438,0.267523193359375,0.013098472595214844,0.00011053469777107239,0.00018240150809288025,0.06123056411743164,0.004449831008911133,0.0,0.09798480224609375,783261.76,0.5694846801757812,0.0
11,2.466354280044379e-05,0.016410299614071845,0.014921321868896484,0.06692118072509766,0.011185565296560526,0.00010449468684237218,0.0001774051376269199,0.04124646520614624,0.0025726890563964842,0.0,0.06905781686305999,782473.334,0.3907118207216263,0.0,0.07924711608886718,0.08857183837890625,0.07934050750732421,0.12716761779785157,0.009503836631774903,0.00010834971070289611,0.0001806260049343109,0.036317367553710934,0.0025584750175476076,0.0,0.06692118072509766,781730.688,0.5600427856445312,0.0
12,2.0515327680210476e-05,0.01575227414444089,0.014708491325378418,0.0650013656616211,0.010642569568008185,0.00010219409046840156,0.00017540992485010065,0.03621561431884766,0.00236107337474823,0.0,0.06530810451507568,780821.34,0.3694697424173355,0.0,0.07732805633544922,0.07759947967529297,0.08325536346435547,0.12618045806884765,0.009368646621704101,0.00010679691284894944,0.0001791640818119049,0.034909374237060545,0.0024706478118896483,0.0,0.0650013656616211,779231.872,0.550787841796875,0.0
13,1.651207163908012e-05,0.016210137587040662,0.01473216438293457,0.06710964965820312,0.010832478757947683,0.00010755317749863025,0.00018380718113621697,0.038414930820465085,0.0024285550117492676,0.0,0.06622739198803902,779042.8435,0.3471411597728729,0.0,0.07983774566650391,0.09492913818359375,0.08338191223144531,0.11460485076904296,0.00945058536529541,0.00010563159734010696,0.00017835062742233276,0.037646602630615235,0.0025622410774230955,0.0,0.06710964965820312,779619.52,0.5403948364257812,0.0
14,1.2770193224131885e-05,0.014952319834381342,0.013882833480834961,0.06040878677368164,0.009921423939988017,0.00010061791873522452,0.0001744455648440635,0.03254438829421997,0.0019628390073776246,0.0,0.057944320499897006,777215.425,0.33881488066911697,0.0,0.07376072692871094,0.07302725982666015,0.0734545669555664,0.1147285385131836,0.008682977676391602,0.0001039971262216568,0.00017628511786460876,0.03191074180603028,0.0022333354949951173,0.0,0.06040878677368164,777099.968,0.5287885131835938,0.0
15,9.39850986895967e-06,0.014452104803174734,0.013611112594604492,0.058800548553466794,0.009492988187819719,9.918233293865341e-05,0.00017182346992194653,0.031239885330200196,0.0020212745666503907,0.0,0.05784075099229813,775894.988,0.31308961617946623,0.0,0.07253398895263671,0.07128620910644531,0.07215471649169922,0.10843291473388672,0.00846916675567627,0.00010283894836902618,0.00017485274374485016,0.030816587448120117,0.0021449246406555177,0.0,0.058800548553466794,775213.76,0.516441650390625,0.0
16,6.495073377741711e-06,0.014915194666013121,0.013500391960144043,0.05821761322021484,0.009636875834316015,0.00010556637504487298,0.0001847634549922077,0.031074084758758544,0.0019103928804397583,0.0,0.055964175760746,775190.6015,0.31977201330661775,0.0,0.07176230621337891,0.0707176513671875,0.071277099609375,0.10707966613769532,0.008387433052062989,0.00010225916653871537,0.00017426958680152893,0.030528861999511717,0.0021095438003540037,0.0,0.05821760940551758,774090.112,0.5083478088378907,0.0
17,4.144318484197592e-06,0.014521226819604636,0.013444076538085938,0.057937240600585936,0.009470225052908062,0.00010102003565407358,0.00017633169391774572,0.030778623580932616,0.0019016904830932617,0.0,0.05563924559950829,774651.805,0.31551285767555237,0.0,0.07131119537353516,0.07047740173339843,0.07093986511230468,0.10655167388916016,0.008347259521484376,0.00010193634033203125,0.0001739898920059204,0.03030889892578125,0.002089125633239746,0.0,0.0579372444152832,772980.352,0.5043646240234375,0.0
18,2.4146074080889003e-06,0.014855098977684975,0.01338991928100586,0.05765554428100586,0.009633151903748513,0.00010443894189666025,0.00018248677290102932,0.030000859260559083,0.0019075859785079956,0.0,0.05560929565131664,772863.9785,0.3052524548768997,0.0,0.07104093170166016,0.07009786987304688,0.07067418670654296,0.10569792938232422,0.008310296058654786,0.00010159245878458023,0.00017351983487606047,0.030191631317138673,0.0020743043422698977,0.0,0.05765554428100586,772569.92,0.5018705749511718,0.0
19,1.3562418159286768e-06,0.014157025251537562,0.0133710298538208,0.05758734893798828,0.00933646578527987,9.641118909348734e-05,0.00016887267754646019,0.03035814666748047,0.0018401291370391845,0.0,0.05512547673285007,772022.73,0.28943283331394193,0.0,0.07102696990966798,0.07008952331542968,0.07064118194580078,0.10534660339355469,0.008298458099365235,0.00010145143419504166,0.00017338196933269502,0.030166690826416015,0.002067652702331543,0.0,0.05758734893798828,772098.24,0.5003483276367188,0.0
20,1e-06,0.015043607611209155,0.013352486610412597,0.05747690582275391,0.009658559910953044,0.00010770095587940887,0.00018921440008853096,0.030808846950531005,0.0017842648029327392,0.0,0.05378161208331585,773146.396,0.29683807349205016,0.0,0.07085700988769532,0.06997560119628907,0.07046823883056641,0.10512738037109375,0.008284855842590332,0.00010135260969400405,0.0001732587218284607,0.03009130096435547,0.0020622215270996096,0.0,0.05747690582275391,771890.56,0.49957977294921874,0.0
