epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,3.1437500000000005e-05,0.10660388398170471,0.09057708740234376,0.33609384155273436,0.06579509215056896,0.00015835551169584506,0.00023772362343152053,0.2192734341621399,0.07692081916332245,0.0,0.3694144835472107,825694.1735,0.4811100642681122,0.0,0.1987877197265625,0.16458963012695313,0.19176113891601562,1.244020263671875,0.05160550689697266,0.00017456324398517609,0.00024767103791236875,0.20162277221679686,0.06058292770385742,0.0,0.33609384155273436,826416.064,0.61781396484375,0.0
2,4.9942884845168216e-05,0.0975566154718399,0.09832660675048828,0.3637579650878906,0.06002079033851623,0.00017094725217611995,0.0002527607821393758,0.19325641107559205,0.053767014861106875,0.0,0.31080307829380033,825502.797,0.49516187930107114,0.0,0.22245013427734375,0.2565435791015625,0.2201181945800781,1.3602291259765624,0.05266192245483398,0.00019911716878414154,0.0002912017107009888,0.23805886840820312,0.05978268432617188,0.0,0.36375799560546873,826416.064,0.61781396484375,0.0
3,4.930339369024957e-05,0.11366172322630883,0.06369963836669922,0.23016169738769532,0.061620565474033356,0.0002718250832986087,0.00044338048063218596,0.25633267974853513,0.07369087290763855,0.0,0.3779749883413315,825695.022,0.487157438993454,0.0,0.14420962524414063,0.1454249267578125,0.18076873779296876,0.8175419921875,0.03465941619873047,0.00015281121432781218,0.00022270768880844116,0.14266439819335938,0.02825010108947754,0.0,0.23016169738769532,826416.064,0.61781396484375,0.0
4,4.7971676886883606e-05,0.06561102184653282,0.05614273071289062,0.20794270324707032,0.038538938000798224,0.0001442652736150194,0.00021517852621036581,0.13239212846755982,0.025808938145637512,0.0,0.22055219000577928,825127.118,0.4901367049217224,0.0,0.16131185913085938,0.12569210815429688,0.12862174987792968,0.7343847045898437,0.030699520111083983,0.00014401793479919432,0.00021538005769252777,0.12161542510986328,0.022559957504272463,0.0,0.20794268798828125,826416.064,0.61781396484375,0.0
5,4.5986462044240416e-05,0.056893556848168374,0.05274868774414063,0.19214791870117187,0.03176132646203041,0.00014294181334844326,0.00021668401377974078,0.11990092658996582,0.018580840826034548,0.0,0.1922890201807022,825593.8135,0.48598635125160217,0.0,0.20013267517089844,0.12133099365234375,0.12638365173339844,0.6238411865234375,0.028358686447143556,0.00014130064845085144,0.00021407243609428405,0.1154997787475586,0.018374664306640625,0.0,0.19214791870117187,826416.064,0.61781396484375,0.0
6,4.340548112481404e-05,0.057187156796455384,0.0525181884765625,0.18986311340332032,0.03293877903372049,0.00015570628977729938,0.00023943451006198303,0.10975375032424926,0.01671194088459015,0.0,0.18336992979049682,825576.094,0.4794913952350616,0.0,0.16885096740722655,0.14825579833984376,0.1523997344970703,0.6158434448242187,0.027522031784057616,0.00013908560574054719,0.00021271581947803498,0.1202791748046875,0.01603780174255371,0.0,0.18986311340332032,826416.064,0.61781396484375,0.0
7,4.0303791543266814e-05,0.04931851325929165,0.041929752349853515,0.1504211883544922,0.028465636655688287,0.0001325816481548827,0.00020713540460565128,0.09482529163360595,0.014235865592956544,0.0,0.16532626605033873,825710.171,0.48632983946800235,0.0,0.13142828369140624,0.10801701354980468,0.1162136993408203,0.49927545166015624,0.02225701141357422,0.00013301990926265717,0.00020698411762714385,0.0868116455078125,0.011466951370239257,0.0,0.15042117309570313,826416.064,0.61781396484375,0.0
8,3.677159342441323e-05,0.04482811142504215,0.04462141036987305,0.1607877197265625,0.02471804381161928,0.00013471466368355324,0.00021248060202924536,0.08916222667694092,0.01179988932609558,0.0,0.15048805433511733,825462.5125,0.4802535569667816,0.0,0.16992681884765626,0.11363816833496093,0.1426954803466797,0.5018761291503906,0.023861623764038085,0.00013088870048522948,0.00020228783786296846,0.09476901245117188,0.013165035247802735,0.0,0.16078773498535157,826416.064,0.61781396484375,0.0
9,3.291160649658636e-05,0.04283268165588379,0.03724435806274414,0.1348035583496094,0.02376397129893303,0.00013251771256909706,0.00020932071350398474,0.08295216178894042,0.010148695349693298,0.0,0.14210274523496627,825853.5205,0.4952130889892578,0.0,0.11175100708007812,0.1038922119140625,0.10804289245605468,0.41947299194335935,0.019703954696655274,0.0001287018060684204,0.00020110169053077698,0.07403540802001952,0.00930054473876953,0.0,0.1348035583496094,826416.064,0.61781396484375,0.0
10,2.8836082902858047e-05,0.03482812751829624,0.03689886474609375,0.12966436767578124,0.019188942924141885,0.00010516962643305305,0.00016870663076406345,0.06920468616485596,0.007582733273506164,0.0,0.1212874212861061,825986.0215,0.5003649649620057,0.0,0.11690233612060547,0.12155054473876953,0.12180405426025391,0.38991781616210935,0.018864227294921876,0.00013121534883975982,0.0002089000940322876,0.07649246215820313,0.008120721817016601,0.0,0.1296643829345703,826416.064,0.61781396484375,0.0
