epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,0.2173882602643566,0.13477723298249422,0.27016072591145834,0.05984543905663891,0.00024391906860552555,0.0003064599533456753,0.2889889664008838,0.07712327019006264,0.0,0.38498929806617127,841069.7704831932,0.6894054881164006,0.10199852085852322,0.2532527669270833,0.5449135561342593,0.23274603949652778,0.42236558702256943,0.03536940963179977,0.00022374824241355615,0.0002953483881773772,0.21889544451678242,0.026759623774775754,0.0,0.27016072591145834,822276.2666666667,0.8317730938946759,0.05538609822591146
2,5e-05,0.23398224408386134,0.21147786458333334,0.4909567599826389,0.07139578993831362,0.0008245143737531945,0.0019644483244129723,0.3682582944381137,0.10671239878450121,0.0,0.47208642947072743,807561.0026260504,0.7200266293116978,0.06612198954808111,0.695417796947338,0.5710443793402777,0.5720659722222222,0.9292390046296296,0.07058074386031539,0.00043129386725249114,0.0006224673324161106,0.3591427725332755,0.12186211480034723,0.0,0.49095671477141206,812563.911111111,0.8474651873553241,0.06546099627459491
3,5e-05,0.17456446249945826,0.13530190927010996,0.2969123896846065,0.05737073052705837,0.0003208076253512819,0.00036261715970741697,0.29193792473368285,0.07090011376793645,0.0,0.3775072508499402,807222.7788865546,0.8452023357904258,0.05736265968562675,0.3011655002170139,0.27988258644386577,0.43615555374710646,0.6860482675057871,0.04028340940122251,0.0002552394955246537,0.00028478452452906857,0.24140731246383101,0.04360247011537905,0.0,0.2969123896846065,802502.7318518518,1.049458279079861,0.04604543615270544
4,5e-05,0.1243342412244372,0.11762327971281829,0.24086778428819444,0.03653419701805135,0.00022730077630933178,0.00027024873686189366,0.1969279291249123,0.027512662926641833,0.0,0.2466916718027171,797931.1050420168,0.9626045778018086,0.046895814934322815,0.24846437807436342,0.32486447934751156,0.24146120424623843,0.5859627730758102,0.03334282486527054,0.00022424821500424986,0.000269390653680872,0.1865497730396412,0.022474006370261864,0.0,0.24086778428819444,796545.8962962963,1.1006913700810186,0.0450855792010272
5,5e-05,0.11276288017505358,0.10049856680410879,0.1876303439670139,0.03159428705625674,0.0002078140837320385,0.00026050533363429295,0.16555334890589996,0.019724109092680346,0.0,0.21000727622949777,794739.3177521009,1.0849790052205575,0.045944885264675155,0.21465560347945603,0.22182350441261575,0.22184468587239584,0.396490162037037,0.027007355866608795,0.00019601665161274098,0.0002467899190054999,0.13226104736328126,0.016053297254774307,0.0,0.18763036657262733,796450.6074074074,1.3590483940972222,0.043851213808412906
6,5e-05,0.10696127851094518,0.10816709165219908,0.2247512478298611,0.02958762036839954,0.00019268605625379182,0.00024710045673761186,0.14709707769025274,0.01681470695663901,0.0,0.1927242098736162,793666.7069327731,1.268088842640404,0.045674792780470444,0.31649285210503475,0.3960764793113426,0.1936567744502315,0.25596657081886576,0.029678734673394096,0.00018472031310752586,0.000244166718588935,0.16713207103587963,0.02332398873788339,0.0,0.2247512478298611,791150.7437037037,1.4285095666956018,0.044182524504484955
7,5e-05,0.10397469152172073,0.08243777804904513,0.15167145905671298,0.026781938852695357,0.0001854423087231126,0.00024588259930933724,0.13354551541705093,0.014473642246062015,0.0,0.17703177930176758,788682.9480042016,1.306887572052098,0.04788880925155988,0.24792154947916667,0.1729303769712095,0.16194680673104744,0.24454124168113425,0.021063790497956453,0.00017822189463509455,0.00024072874475408482,0.09730886953848379,0.01011919374819155,0.0,0.15167145905671298,786751.0044444444,1.379797092013889,0.03786656415020978
8,5e-05,0.10475033296256506,0.11475055835865162,0.19676475242332175,0.02675963953888717,0.00017719829387516722,0.0002435326941620496,0.13071378239062653,0.01350931973517442,0.0,0.17503130054023086,782635.7022058824,1.2507393480348987,0.049523710249727515,0.24743046513310185,0.22517720540364583,0.3459384720413773,0.23559547706886574,0.026806021796332465,0.0001848474696830467,0.00026849949801409687,0.1382087990089699,0.014866769578721788,0.0,0.19676475242332175,781000.4385185185,1.3693815104166667,0.057970841019241895
9,5e-05,0.09834463268268008,0.09531804967809607,0.21400293420862268,0.02421052537138472,0.00018949674298358738,0.0002677070540415139,0.11770144130001549,0.011849748737671795,0.0,0.16009194704414415,778868.2163865546,1.2458261672188253,0.047004053416121905,0.16892948857060186,0.17860271312572337,0.1797556672272859,0.696445945457176,0.028624617965133103,0.00017014129294289483,0.00023958967791663275,0.1479893098054109,0.017880863613552518,0.0,0.21400293420862268,780920.32,1.4473891420717593,0.03598796703197338
10,5e-05,0.09291739455040764,0.07795408460828993,0.12512543854890046,0.024788278468078424,0.00018527524964859467,0.00027176947962686404,0.11214504973227236,0.010867113576215856,0.0,0.15537975033541687,785234.6281512605,1.404205952872749,0.04204359542609764,0.15488145616319443,0.15441134982638888,0.15257723207826968,0.25075468840422455,0.017747121740270544,0.0001617376892654984,0.00022733637580165156,0.08052497581199364,0.00826486728809498,0.0,0.12512543854890046,775751.4903703703,1.4583907515914352,0.040041334364149306
